0.784626,1.47411,1.16453,0.956286,1.97716,0.428283,0.881132,0.555,1.7775,0.15872
0.495414,1.94806,0.877381,1.05164,2.20973,0.665571,0.741349,0.505408,1.79872,0.82858
0.405673,1.86141,1.12844,0.80937,2.25005,1.1791,0.920056,0.492651,1.43915,0.846673
0.637874,2.19488,1.1143,1.04113,1.9525,0.992243,0.890115,0.574425,2.51771,0.757961
0.603491,1.79574,1.01307,1.1647,1.96181,1.34323,1.05124,0.705004,2.09511,1.21028
0.506613,2.68916,1.39692,1.19694,1.84367,1.71576,1.32234,0.65443,1.79395,1.06768
0.452492,2.36841,1.18055,1.10455,1.91773,1.38439,1.30644,0.684114,1.82469,1.27803
0.476843,2.13,1.24945,1.10444,1.83287,1.329,0.952186,0.763239,1.7743,0.445713
0.741342,2.51125,1.86725,1.20943,2.00417,1.42332,1.21356,0.832561,1.80693,0.925311
0.584766,2.26602,1.17,1.10385,1.8988,1.79258,1.39596,0.632439,1.4037,0.918394
0.610366,1.86905,1.29548,1.01517,2.01068,2.88248,1.27052,0.774699,1.5613,1.15853
0.622122,2.4707,1.07092,1.36661,1.94513,6.04979,1.77609,1.15111,1.99717,0.986062
0.799462,1.87908,1.33899,1.73547,2.78992,4.12241,3.12275,1.06512,4.49262,1.06865
0.64182,2.47831,1.27559,1.7773,2.74745,3.78321,2.87196,0.853741,3.22525,1.65297
0.470414,1.66986,1.41885,1.20515,1.96998,1.93178,1.99184,0.952076,2.83481,1.30183
0.737876,2.829,1.18346,1.39918,2.05459,2.71071,2.82653,1.0298,2.90264,2.02289
1.10352,2.04232,1.90187,2.14774,3.14543,3.78946,4.06207,1.18968,2.8681,1.65482
1.4025,3.02712,2.39285,2.80572,3.39177,3.73257,4.28484,1.79776,3.12883,0.84282
1.86114,3.2408,3.19039,3.1043,3.53829,3.04652,3.41779,1.91071,4.04155,2.38079
1.90304,3.49221,3.70689,3.02452,3.28727,2.78386,2.33329,2.15763,3.44932,2.12606
2.05512,3.23667,3.87634,2.94354,3.48202,1.83982,1.91419,2.27359,4.51978,4.05518
1.7909,2.02839,2.85313,1.95311,2.75519,1.06872,2.11881,2.08572,4.18916,2.44512
1.41537,0.694101,1.87656,1.7322,2.18818,1.84167,1.2765,1.87055,4.38694,2.26898
1.354,1.96195,2.39264,1.26623,1.68422,1.55837,1.15617,1.53212,3.83978,2.33807
0.693242,1.61535,2.00457,1.25336,1.36867,1.23446,1.10357,1.38279,4.51227,3.43133
0.455794,1.29222,1.98846,1.1758,0.87724,0.81984,1.18188,1.28019,2.84845,1.51788
0.527289,1.29973,1.66106,1.0274,0.773904,0.859968,0.930534,1.13187,2.51261,0.538759
0.394418,1.34059,2.07016,1.03359,0.633577,1.11282,0.811463,1.06472,2.05738,0.514544
0.331537,0.908863,1.35365,0.749059,0.489592,1.04208,0.867922,0.673068,1.22555,1.83765
0.249691,0.622013,1.74417,0.904913,0.467051,0.83456,0.913153,0.586445,1.5478,0.941406
0.363239,0.42434,1.24917,0.754299,0.35675,0.625752,0.912472,0.702696,0.950753,0.508934
0.343458,0.531826,1.57344,0.802269,0.358038,0.478399,0.627925,0.117173,0.797161,0.32637
0.199502,1.84902,1.30389,0.42099,0.459533,0.398766,0.878384,0.0819138,0.901108,0.276258
0.12085,1.54603,0.988692,0.795601,0.296985,1.14352,0.453362,0.0236152,0.616252,0.582949
